error_code,category,description,remedy,error_type,source_file,ingested_at,content
16#8388,Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,"Error in the response of the slave to a write request. | Runtime error: Error at the ""Block check character"" The internally calculated value of the block check character does not correspond to the block check character received by the partner at the connection end.","Check the response frame of the slave. | Check whether the connection is seriously disrupted; in this case you may also occasionally see error codes. Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line.",Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8388
category: Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: Error in the response of the slave to a write request. | Runtime error: Error at the ""Block check character"" The internally calculated value of the block check character does not correspond to the block check character received by the partner at the connection end.
remedy: Check the response frame of the slave. | Check whether the connection is seriously disrupted; in this case you may also occasionally see error codes. Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line."
16#8828,Protocol error - Modbus_Master (only communication modules that support Modbus),DATA_PTR points to a bit address that is not equal to n * 8,Check the DATA_PTR pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8828
category: Protocol error - Modbus_Master (only communication modules that support Modbus)
error_type: Modbus
description: DATA_PTR points to a bit address that is not equal to n * 8
remedy: Check the DATA_PTR pointer"
16#8852,Protocol error - Modbus_Master (only communication modules that support Modbus),DATA_PTR is not a pointer to a DB or a bit memory area,Check the DATA_PTR pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8852
category: Protocol error - Modbus_Master (only communication modules that support Modbus)
error_type: Modbus
description: DATA_PTR is not a pointer to a DB or a bit memory area
remedy: Check the DATA_PTR pointer"
16#8853,Protocol error - Modbus_Master (only communication modules that support Modbus),DATA_PTR is not a pointer of type BOOL or WORD,Check the DATA_PTR pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8853
category: Protocol error - Modbus_Master (only communication modules that support Modbus)
error_type: Modbus
description: DATA_PTR is not a pointer of type BOOL or WORD
remedy: Check the DATA_PTR pointer"
16#8855,Protocol error - Modbus_Master (only communication modules that support Modbus),DATA_PTR points to a write-protected DB,Check the DATA_PTR pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8855
category: Protocol error - Modbus_Master (only communication modules that support Modbus)
error_type: Modbus
description: DATA_PTR points to a write-protected DB
remedy: Check the DATA_PTR pointer"
16#8856,Protocol error - Modbus_Master (only communication modules that support Modbus),Error during call of SFC51,Call the Modbus_Master instruction again,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8856
category: Protocol error - Modbus_Master (only communication modules that support Modbus)
error_type: Modbus
description: Error during call of SFC51
remedy: Call the Modbus_Master instruction again"
16#8428,Error - Modbus_Slave (only communication modules that support Modbus),MB_HOLD_REG points to a bit address that is not equal to n * 8,Check the MB_HOLD_REG pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8428
category: Error - Modbus_Slave (only communication modules that support Modbus)
error_type: Modbus
description: MB_HOLD_REG points to a bit address that is not equal to n * 8
remedy: Check the MB_HOLD_REG pointer"
16#0094,RECEIVE status and error codes,"frame end identified based on the ""Receipt of fixed/maximum frame length""",,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#0094
category: RECEIVE status and error codes
error_type: PtP
description: frame end identified based on the ""Receipt of fixed/maximum frame length""
remedy:"
16#0095,RECEIVE status and error codes,"frame end identified based on ""Message timeout""",,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#0095
category: RECEIVE status and error codes
error_type: PtP
description: frame end identified based on ""Message timeout""
remedy:"
16#0096,RECEIVE status and error codes,"frame end identified based on expiration of the ""Character delay time""",,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#0096
category: RECEIVE status and error codes
error_type: PtP
description: frame end identified based on expiration of the ""Character delay time""
remedy:"
16#0097,RECEIVE status and error codes,The frame was aborted because the maximum response time was reached.,,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#0097
category: RECEIVE status and error codes
error_type: PtP
description: The frame was aborted because the maximum response time was reached.
remedy:"
16#0098,RECEIVE status and error codes,"frame end identified based on the fulfillment of the ""Read message length from message"" conditions",,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#0098
category: RECEIVE status and error codes
error_type: PtP
description: frame end identified based on the fulfillment of the ""Read message length from message"" conditions
remedy:"
16#0099,RECEIVE status and error codes,"frame end identified based on the receipt of the ""End sequence""",,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#0099
category: RECEIVE status and error codes
error_type: PtP
description: frame end identified based on the receipt of the ""End sequence""
remedy:"
16#7000,SEND status and error codes,Block idle,,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#7000
category: SEND status and error codes
error_type: PtP
description: Block idle
remedy:"
16#7001,SEND status and error codes,Initial call for a new frame: Data transmission initiated,,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#7001
category: SEND status and error codes
error_type: PtP
description: Initial call for a new frame: Data transmission initiated
remedy:"
16#7002,SEND status and error codes,Interim call: Data transmission running,,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#7002
category: SEND status and error codes
error_type: PtP
description: Interim call: Data transmission running
remedy:"
16#8085,SEND status and error codes,Invalid length,Select a suitable frame length. The following are valid (depending on the module): 1-1024/2048/4096 (Byte),PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8085
category: SEND status and error codes
error_type: PtP
description: Invalid length
remedy: Select a suitable frame length. The following are valid (depending on the module): 1-1024/2048/4096 (Byte)"
16#8088,SEND status and error codes | RECEIVE status and error codes,"The specified length exceeds the range set in the receive buffer. Note: If the data type STRING has been specified at the BUFFER parameter, this error code also appears if the current string is shorter than the length specified at the LENGTH parameter. | The number of characters received exceeds the number specified at the BUFFER parameter.",Change the range in the receive buffer or select a frame length which corresponds to the range set in the receive buffer. The following are valid (depending on the module): 1-1024/2048/4096 (bytes) | Select a suitable frame length. The following are valid (depending on the module): 1-1024/2048/4096 (bytes),PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8088
category: SEND status and error codes | RECEIVE status and error codes
error_type: PtP
description: The specified length exceeds the range set in the receive buffer. Note: If the data type STRING has been specified at the BUFFER parameter, this error code also appears if the current string is shorter than the length specified at the LENGTH parameter. | The number of characters received exceeds the number specified at the BUFFER parameter.
remedy: Change the range in the receive buffer or select a frame length which corresponds to the range set in the receive buffer. The following are valid (depending on the module): 1-1024/2048/4096 (bytes) | Select a suitable frame length. The following are valid (depending on the module): 1-1024/2048/4096 (bytes)"
16#8090,SEND status and error codes | RECEIVE status and error codes,Configuration error: Odd number of bytes for WString,Select an even number of bytes.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8090
category: SEND status and error codes | RECEIVE status and error codes
error_type: PtP
description: Configuration error: Odd number of bytes for WString
remedy: Select an even number of bytes."
16#818F,Error message codes of the special functions,Incorrect parameter number setting (with USS only),Select a suitable parameter number (PARAM). The following numbers are valid: 0-2047,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#818F
category: Error message codes of the special functions
error_type: PtP
description: Incorrect parameter number setting (with USS only)
remedy: Select a suitable parameter number (PARAM). The following numbers are valid: 0-2047"
16#8190,Error message codes of the special functions,Incorrect setting of the CRC calculation,Select a suitable value for the CRC calculation. The following are valid: deactivated or activated. Check whether the module addressed supports CRC calculation.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8190
category: Error message codes of the special functions
error_type: PtP
description: Incorrect setting of the CRC calculation
remedy: Select a suitable value for the CRC calculation. The following are valid: deactivated or activated. Check whether the module addressed supports CRC calculation."
16#8191,Error message codes of the special functions,Incorrect setting of the diagnostic error interrupt,"Select a suitable value for ""Diagnostic error interrupt"". The following are valid: Diagnostic error interrupt deactivated or diagnostic error interrupt activated. Check whether the module addressed supports the generation of diagnostic interrupts.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8191
category: Error message codes of the special functions
error_type: PtP
description: Incorrect setting of the diagnostic error interrupt
remedy: Select a suitable value for ""Diagnostic error interrupt"". The following are valid: Diagnostic error interrupt deactivated or diagnostic error interrupt activated. Check whether the module addressed supports the generation of diagnostic interrupts."
16#81A0,"Error message codes of the ""Port configuration""",The module does not support this protocol.,Select a valid protocol for the module (PROTOCOL).,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81A0
category: Error message codes of the ""Port configuration""
error_type: PtP
description: The module does not support this protocol.
remedy: Select a valid protocol for the module (PROTOCOL)."
16#81A1,"Error message codes of the ""Port configuration""",The module does not support this data transmission rate.,Select a valid data transmission rate for the module (BAUD).,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81A1
category: Error message codes of the ""Port configuration""
error_type: PtP
description: The module does not support this data transmission rate.
remedy: Select a valid data transmission rate for the module (BAUD)."
16#81A2,"Error message codes of the ""Port configuration""",The module does not support this parity setting.,"Select a suitable value for ""Parity"" (PARITY). The following are valid: None (1) Even (2) Odd (3) Mark (4) Space (5) Any (6)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81A2
category: Error message codes of the ""Port configuration""
error_type: PtP
description: The module does not support this parity setting.
remedy: Select a suitable value for ""Parity"" (PARITY). The following are valid: None (1) Even (2) Odd (3) Mark (4) Space (5) Any (6)"
16#81A3,"Error message codes of the ""Port configuration""",The module does not support this number of data bits.,"Select a suitable value for ""Number of data bits"" (DATABITS). The following are valid: 7 (2) 8 (1)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81A3
category: Error message codes of the ""Port configuration""
error_type: PtP
description: The module does not support this number of data bits.
remedy: Select a suitable value for ""Number of data bits"" (DATABITS). The following are valid: 7 (2) 8 (1)"
16#81A4,"Error message codes of the ""Port configuration""",The module does not support this number of stop bits.,"Select a suitable value for ""Number of stop bits"" (STOPBITS). The following are valid: 1 (1) 2 (2)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81A4
category: Error message codes of the ""Port configuration""
error_type: PtP
description: The module does not support this number of stop bits.
remedy: Select a suitable value for ""Number of stop bits"" (STOPBITS). The following are valid: 1 (1) 2 (2)"
16#81A5,"Error message codes of the ""Port configuration""",The module does not support this type of data flow control.,Select a valid data flow control for the module (FLOWCTRL).,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81A5
category: Error message codes of the ""Port configuration""
error_type: PtP
description: The module does not support this type of data flow control.
remedy: Select a valid data flow control for the module (FLOWCTRL)."
16#81A7,"Error message codes of the ""Port configuration""",Invalid value for XON or XOFF,Select suitable values for XON (XONCHAR) and XOFF (XOFFCHAR). Valid range of values: 0...255,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81A7
category: Error message codes of the ""Port configuration""
error_type: PtP
description: Invalid value for XON or XOFF
remedy: Select suitable values for XON (XONCHAR) and XOFF (XOFFCHAR). Valid range of values: 0...255"
16#81AA,"Error message codes of the ""Port configuration""",Invalid operating mode,Valid operating modes are: Full duplex (RS232) (0) Full duplex (RS422) four-wire mode (point-to-point) (1) / (CM PtP (ET 200SP)) Full duplex (RS422) four-wire mode (multipoint master) (2)/ (CM PtP (ET 200SP)) Full duplex (RS 422) four-wire mode (multipoint slave) (3) Half duplex (RS485) two-wire mode. (4),PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81AA
category: Error message codes of the ""Port configuration""
error_type: PtP
description: Invalid operating mode
remedy: Valid operating modes are: Full duplex (RS232) (0) Full duplex (RS422) four-wire mode (point-to-point) (1) / (CM PtP (ET 200SP)) Full duplex (RS422) four-wire mode (multipoint master) (2)/ (CM PtP (ET 200SP)) Full duplex (RS 422) four-wire mode (multipoint slave) (3) Half duplex (RS485) two-wire mode. (4)"
16#81AB,"Error message codes of the ""Port configuration""",Invalid receive line initial state,"Valid initial states are: ""No"" default setting (0) Signal R(A)=5 V, signal R(B)=0 V (break detection) (1): Can only be selected with: ""Full duplex (RS422) four-wire mode (point-to-point connection)"" and ""Full duplex (RS422) four-wire mode (multipoint slave)"". Signal R(A)=0 V, signal R(B)=5 V (2): This default setting corresponds to the idle state (no active send operation).",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81AB
category: Error message codes of the ""Port configuration""
error_type: PtP
description: Invalid receive line initial state
remedy: Valid initial states are: ""No"" default setting (0) Signal R(A)=5 V, signal R(B)=0 V (break detection) (1): Can only be selected with: ""Full duplex (RS422) four-wire mode (point-to-point connection)"" and ""Full duplex (RS422) four-wire mode (multipoint slave)"". Signal R(A)=0 V, signal R(B)=5 V (2): This default setting corresponds to the idle state (no active send operation)."
16#81AC,"Error message codes of the ""Port configuration""","Invalid value for ""Break detection""","Select a suitable value for ""Break detection"". The following are valid: Break detection deactivated (0) Break detection activated (1).",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81AC
category: Error message codes of the ""Port configuration""
error_type: PtP
description: Invalid value for ""Break detection""
remedy: Select a suitable value for ""Break detection"". The following are valid: Break detection deactivated (0) Break detection activated (1)."
16#81AF,"Error message codes of the ""Port configuration""",The module does not support this protocol.,Select a valid protocol for the module.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81AF
category: Error message codes of the ""Port configuration""
error_type: PtP
description: The module does not support this protocol.
remedy: Select a valid protocol for the module."
16#81B5,"Error codes of the ""Send configuration""",More than two end delimiters or end sequence > 5 characters,"Select suitable values for ""End delimiter"" and ""End sequence"". The following are valid: deactivated (0), 1 (1) or 2 (2) end delimiters or deactivated (0), 1 (1) up to 5 (5) characters for the end sequence.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81B5
category: Error codes of the ""Send configuration""
error_type: PtP
description: More than two end delimiters or end sequence > 5 characters
remedy: Select suitable values for ""End delimiter"" and ""End sequence"". The following are valid: deactivated (0), 1 (1) or 2 (2) end delimiters or deactivated (0), 1 (1) up to 5 (5) characters for the end sequence."
16#81B6,"Error codes of the ""Send configuration""",Send configuration rejected because the 3964(R) protocol was selected,Make sure that no send configuration is transmitted if the 3964(R) protocol is set.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81B6
category: Error codes of the ""Send configuration""
error_type: PtP
description: Send configuration rejected because the 3964(R) protocol was selected
remedy: Make sure that no send configuration is transmitted if the 3964(R) protocol is set."
16#81C0,"Error codes of the ""Receive configuration""",Invalid start condition,Select a suitable start condition. The following are valid: Send break before frame start Send Idle Line.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C0
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid start condition
remedy: Select a suitable start condition. The following are valid: Send break before frame start Send Idle Line."
16#81C1,"Error codes of the ""Receive configuration""",Invalid end condition or no end condition selected,Select a suitable end condition (see Receiving data with Freeport (S7-1500)).,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C1
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid end condition or no end condition selected
remedy: Select a suitable end condition (see Receiving data with Freeport (S7-1500))."
16#81C3,"Error codes of the ""Receive configuration""","Invalid value for ""Maximum message length""","Select a suitable value for ""Maximum message length"" (MAXLEN). Valid range of values (depending on the module): 1-1024/2048/4096 (Byte)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C3
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid value for ""Maximum message length""
remedy: Select a suitable value for ""Maximum message length"" (MAXLEN). Valid range of values (depending on the module): 1-1024/2048/4096 (Byte)"
16#81C4,"Error codes of the ""Receive configuration""","Invalid value for ""Offset of the length specification in the message""","Select a suitable value for ""Offset of the length specification in the message"". Valid range of values (depending on the module): 1-1024/2048/4096 (Byte)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C4
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid value for ""Offset of the length specification in the message""
remedy: Select a suitable value for ""Offset of the length specification in the message"". Valid range of values (depending on the module): 1-1024/2048/4096 (Byte)"
16#81C5,"Error codes of the ""Receive configuration""","Invalid value for ""Size of length field""","Select a suitable value for ""Size of length field"" (LENGTHSIZE). Valid range of values in bytes: 1 (1) 2 (2) 4 (4)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C5
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid value for ""Size of length field""
remedy: Select a suitable value for ""Size of length field"" (LENGTHSIZE). Valid range of values in bytes: 1 (1) 2 (2) 4 (4)"
16#81C6,"Error codes of the ""Receive configuration""","Invalid value for ""Number of characters not counted in length specification""","Select a suitable value for ""Number of characters not counted in length specification"" (LENGTHM). Valid range of values: 0 to 255 (bytes)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C6
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid value for ""Number of characters not counted in length specification""
remedy: Select a suitable value for ""Number of characters not counted in length specification"" (LENGTHM). Valid range of values: 0 to 255 (bytes)"
16#81C7,"Error codes of the ""Receive configuration""","The total of ""Offset in the message + size of length field + number of characters not counted"" is greater than the maximum frame length","Select a suitable value for ""Offset in message"", ""Size of length field"" and ""Number of characters not counted"". Valid range of values: Offset in the message (depending on the module): 0-1024/2048/4096 (bytes) Size of length field: 1, 2, or 4 (bytes) Number of characters not counted: 0 to 255 (bytes)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C7
category: Error codes of the ""Receive configuration""
error_type: PtP
description: The total of ""Offset in the message + size of length field + number of characters not counted"" is greater than the maximum frame length
remedy: Select a suitable value for ""Offset in message"", ""Size of length field"" and ""Number of characters not counted"". Valid range of values: Offset in the message (depending on the module): 0-1024/2048/4096 (bytes) Size of length field: 1, 2, or 4 (bytes) Number of characters not counted: 0 to 255 (bytes)"
16#81C8,"Error codes of the ""Receive configuration""","Invalid value for ""Response timeout""","Select a suitable value for ""Response timeout"". Valid range of values: 1-65535 (ms)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C8
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid value for ""Response timeout""
remedy: Select a suitable value for ""Response timeout"". Valid range of values: 1-65535 (ms)"
16#81C9,"Error codes of the ""Receive configuration""","Invalid value for ""Character delay time""","Select a suitable value for ""Character delay time"". Valid range of values: 1 to 65535 (bit times)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81C9
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid value for ""Character delay time""
remedy: Select a suitable value for ""Character delay time"". Valid range of values: 1 to 65535 (bit times)"
16#81CB,"Error codes of the ""Receive configuration""","frame end sequence is activated, but no character is activated for the check",Activate one or several characters for the check.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81CB
category: Error codes of the ""Receive configuration""
error_type: PtP
description: frame end sequence is activated, but no character is activated for the check
remedy: Activate one or several characters for the check."
16#81CC,"Error codes of the ""Receive configuration""","frame start sequence is activated, but no character is activated for the check",Activate one or several characters for the check.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81CC
category: Error codes of the ""Receive configuration""
error_type: PtP
description: frame start sequence is activated, but no character is activated for the check
remedy: Activate one or several characters for the check."
16#81CD,"Error codes of the ""Receive configuration""","Invalid value for ""Prevent overwriting""","Select a suitable value for ""Prevent overwriting"". The following are valid: Prevent overwriting is deactivated (0) or Prevent overwriting is activated (1)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81CD
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid value for ""Prevent overwriting""
remedy: Select a suitable value for ""Prevent overwriting"". The following are valid: Prevent overwriting is deactivated (0) or Prevent overwriting is activated (1)"
16#81CE,"Error codes of the ""Receive configuration""","Invalid value for ""Clear receive buffer on startup""","Select a suitable value for ""Clear receive buffer on startup"". The following are valid: Clear receive buffer at startup is deactivated (0) Clear receive buffer at startup is activated (1)",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81CE
category: Error codes of the ""Receive configuration""
error_type: PtP
description: Invalid value for ""Clear receive buffer on startup""
remedy: Select a suitable value for ""Clear receive buffer on startup"". The following are valid: Clear receive buffer at startup is deactivated (0) Clear receive buffer at startup is activated (1)"
16#81D0,SEND status and error codes,Receiving send request during runtime of a send command,Make sure that you do not receive an additional send request during runtime of a send command.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81D0
category: SEND status and error codes
error_type: PtP
description: Receiving send request during runtime of a send command
remedy: Make sure that you do not receive an additional send request during runtime of a send command."
16#81D1,SEND status and error codes,The waiting time for XON or CTS = ON has expired.,"The communication partner has a fault, is too slow or is offline. Check the communication partner or change the parameters, if necessary.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81D1
category: SEND status and error codes
error_type: PtP
description: The waiting time for XON or CTS = ON has expired.
remedy: The communication partner has a fault, is too slow or is offline. Check the communication partner or change the parameters, if necessary."
16#81D2,SEND status and error codes,"""Hardware RTS always ON"": Send job canceled due to change from DSR = ON to OFF",Check the communication partner. Make sure that DSR is ON for the entire duration of transmission.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81D2
category: SEND status and error codes
error_type: PtP
description: ""Hardware RTS always ON"": Send job canceled due to change from DSR = ON to OFF
remedy: Check the communication partner. Make sure that DSR is ON for the entire duration of transmission."
16#81D3,SEND status and error codes,Send buffer overflow / send frame too long,Select a shorter frame length. The following are valid (depending on the module): 1 to 1024/2048/4096 (bytes),PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81D3
category: SEND status and error codes
error_type: PtP
description: Send buffer overflow / send frame too long
remedy: Select a shorter frame length. The following are valid (depending on the module): 1 to 1024/2048/4096 (bytes)"
16#81D5,SEND status and error codes,"Transmission canceled due to parameter changes, detected wire break, or CPU in STOP","Check the parameter assignment, wire break, and CPU status.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81D5
category: SEND status and error codes
error_type: PtP
description: Transmission canceled due to parameter changes, detected wire break, or CPU in STOP
remedy: Check the parameter assignment, wire break, and CPU status."
16#81D6,SEND status and error codes,Transmission canceled because end identifier was not received,Check the parameter assignment of the end characters and the frame of the communication partner.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81D6
category: SEND status and error codes
error_type: PtP
description: Transmission canceled because end identifier was not received
remedy: Check the parameter assignment of the end characters and the frame of the communication partner."
16#81D7,SEND status and error codes,Communication error between the user program and module,"Check the communication (e.g., matching the sequence number).",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81D7
category: SEND status and error codes
error_type: PtP
description: Communication error between the user program and module
remedy: Check the communication (e.g., matching the sequence number)."
16#81D8,SEND status and error codes,Transmission attempt rejected because module is not configured,Configure the module.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81D8
category: SEND status and error codes
error_type: PtP
description: Transmission attempt rejected because module is not configured
remedy: Configure the module."
16#81E0,Error codes of the receive configuration,Frame aborted: Send buffer overflow / send frame too long,Increase the call rate for the receive function in the user program or configure communication with data flow control.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E0
category: Error codes of the receive configuration
error_type: PtP
description: Frame aborted: Send buffer overflow / send frame too long
remedy: Increase the call rate for the receive function in the user program or configure communication with data flow control."
16#81E1,Error codes of the receive configuration,Frame aborted: Parity error,"Check the connection line of the communication partners, or verify that the same data transmission rate, parity and stop bit number are configured for both devices.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E1
category: Error codes of the receive configuration
error_type: PtP
description: Frame aborted: Parity error
remedy: Check the connection line of the communication partners, or verify that the same data transmission rate, parity and stop bit number are configured for both devices."
16#81E2,Error codes of the receive configuration,Frame aborted: Character frame error,"Check the settings for start bit, data bits, parity bit, data transmission rate, and stop bit(s).",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E2
category: Error codes of the receive configuration
error_type: PtP
description: Frame aborted: Character frame error
remedy: Check the settings for start bit, data bits, parity bit, data transmission rate, and stop bit(s)."
16#81E3,Error codes of the receive configuration,Frame aborted: Character overflow error,Firmware error: Please contact Customer Support.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E3
category: Error codes of the receive configuration
error_type: PtP
description: Frame aborted: Character overflow error
remedy: Firmware error: Please contact Customer Support."
16#81E4,Error codes of the receive configuration,"Frame aborted: The total length of ""Offset in the message + size of the length field + number of characters not counted"" is greater than the receive buffer","Select a suitable value for offset in message, size of the length field, and number of characters not counted.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E4
category: Error codes of the receive configuration
error_type: PtP
description: Frame aborted: The total length of ""Offset in the message + size of the length field + number of characters not counted"" is greater than the receive buffer
remedy: Select a suitable value for offset in message, size of the length field, and number of characters not counted."
16#81E5,Error codes of the receive configuration,Frame aborted: Break,Receive line to partner is interrupted. Reconnect or switch on partner.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E5
category: Error codes of the receive configuration
error_type: PtP
description: Frame aborted: Break
remedy: Receive line to partner is interrupted. Reconnect or switch on partner."
16#81E6,Error codes of the receive configuration,"Maximum number of ""Buffered received frames"" exceeded",In the user program call the instruction more often or configure a communication with data flow control or increase the number of buffered frames.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E6
category: Error codes of the receive configuration
error_type: PtP
description: Maximum number of ""Buffered received frames"" exceeded
remedy: In the user program call the instruction more often or configure a communication with data flow control or increase the number of buffered frames."
16#81E7,Error codes of the receive configuration,Synchronization error module and Receive_P2P,Make sure that different instances of the Receive_P2P do not access the same module.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E7
category: Error codes of the receive configuration
error_type: PtP
description: Synchronization error module and Receive_P2P
remedy: Make sure that different instances of the Receive_P2P do not access the same module."
16#81E8,Error codes of the receive configuration,Frame aborted: The character delay time has expired before the message end criterion was detected,"Partner device faulty or too slow. Check this, if required, using an interface tester that is interconnected in the transmission line.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E8
category: Error codes of the receive configuration
error_type: PtP
description: Frame aborted: The character delay time has expired before the message end criterion was detected
remedy: Partner device faulty or too slow. Check this, if required, using an interface tester that is interconnected in the transmission line."
16#81E9,Error codes of the receive configuration,Modbus CRC error (only communication modules which support Modbus),Checksum error of the Modbus frame. Check the communication partner.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81E9
category: Error codes of the receive configuration
error_type: PtP
description: Modbus CRC error (only communication modules which support Modbus)
remedy: Checksum error of the Modbus frame. Check the communication partner."
16#81EA,Error codes of the receive configuration,Modbus frame too short (only communication modules which support Modbus),Minimum length of Modbus frame not met. Check the communication partner.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81EA
category: Error codes of the receive configuration
error_type: PtP
description: Modbus frame too short (only communication modules which support Modbus)
remedy: Minimum length of Modbus frame not met. Check the communication partner."
16#81EB,Error codes of the receive configuration,Frame aborted: Maximum frame length reached,Select a shorter frame length at the communication partner. The following are valid (depending on the module): 1-1024/2048/4096 (bytes) Check the parameters for end of frame detection.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81EB
category: Error codes of the receive configuration
error_type: PtP
description: Frame aborted: Maximum frame length reached
remedy: Select a shorter frame length at the communication partner. The following are valid (depending on the module): 1-1024/2048/4096 (bytes) Check the parameters for end of frame detection."
